Время,X,Y,Z,Курс,Целевой_курс,Расстояние,Мощность_0,Мощность_1,Мощность_2,Мощность_3,Номер_точки
109.05,5.574,2.443,1.939,120.51,120.26,0.063,0.357,0.314,0.111,0.133,1
110.06,5.546,2.532,2.021,121.21,120.26,0.057,0.325,0.385,0.135,0.112,1
111.07,5.492,2.614,2.029,120.82,120.26,0.103,0.382,0.361,0.12,0.117,1
112.08,5.446,2.691,1.99,120.73,120.26,0.094,0.327,0.33,0.11,0.131,1
113.09,5.372,2.773,2.014,119.53,120.26,0.121,0.326,0.353,0.125,0.095,1
114.1,5.339,2.849,2.022,120.87,120.26,0.084,0.327,0.405,0.11,0.124,1
115.11,5.291,2.922,2.017,119.74,120.26,0.051,0.401,0.396,0.09,0.131,1
116.12,5.254,3.007,1.984,121.82,120.26,0.071,0.351,0.365,0.098,0.141,1
117.13,5.186,3.084,1.996,123.34,120.26,0.073,0.32,0.368,0.105,0.12,1
118.14,5.167,3.158,2.031,119.37,120.26,0.096,0.309,0.34,0.111,0.117,1
119.15,5.12,3.243,2.038,117.65,120.26,0.065,0.308,0.345,0.123,0.123,1
120.16,5.055,3.327,2.003,119.75,120.26,0.077,0.409,0.374,0.139,0.106,1
121.17,5.012,3.397,2.002,120.71,120.26,0.076,0.277,0.346,0.132,0.116,1
122.18,4.967,3.472,2.006,121.52,120.26,0.068,0.316,0.363,0.156,0.128,1
123.19,4.928,3.559,2.031,121.55,120.26,0.09,0.376,0.306,0.146,0.126,1
124.2,4.886,3.647,1.968,119.32,120.26,0.061,0.397,0.284,0.117,0.099,1
125.21,4.851,3.709,1.96,119.3,120.26,0.07,0.344,0.283,0.154,0.114,1
126.22,4.788,3.789,2.004,121.78,120.26,0.055,0.381,0.333,0.144,0.078,1
127.23,4.749,3.868,1.967,118.95,120.26,0.092,0.38,0.404,0.112,0.136,1
128.24,4.698,3.958,1.982,121.56,120.26,0.093,0.389,0.398,0.127,0.109,1
129.25,4.665,4.012,2.003,119.98,120.26,0.102,0.352,0.311,0.143,0.125,1
130.26,4.611,4.109,2.014,121.18,120.26,0.05,0.416,0.288,0.126,0.098,1
131.27,4.57,4.194,1.968,121.1,120.26,0.124,0.359,0.382,0.141,0.118,1
132.27,4.504,4.257,2.024,121.19,120.26,0.105,0.412,0.369,0.129,0.129,1
133.28,4.465,4.354,1.947,121.24,120.26,0.053,0.307,0.296,0.135,0.139,1
134.29,4.414,4.426,2.016,119.07,120.26,0.129,0.388,0.393,0.115,0.093,1
135.3,4.387,4.496,1.953,120.61,120.26,0.075,0.301,0.358,0.129,0.137,1
136.31,4.334,4.581,1.962,120.27,120.26,0.125,0.291,0.404,0.114,0.116,1
137.32,4.28,4.646,2.019,120.63,120.26,0.068,0.371,0.364,0.134,0.104,1
138.33,4.233,4.733,1.988,121.74,120.26,0.077,0.318,0.386,0.087,0.129,1
139.34,4.194,4.83,1.976,119.93,120.26,0.057,0.369,0.363,0.128,0.114,1
140.35,4.139,4.888,1.987,119.4,120.26,0.129,0.308,0.312,0.146,0.114,1
141.36,4.091,4.988,2.014,119.38,120.26,0.064,0.416,0.341,0.133,0.106,1
142.37,4.056,5.052,1.998,119.88,120.26,0.083,0.352,0.323,0.12,0.124,1
143.38,4.026,5.14,1.999,121.16,120.26,0.053,0.306,0.384,0.132,0.12,1
144.39,3.958,5.211,2.032,119.28,120.26,0.062,0.359,0.311,0.104,0.116,1
145.4,3.91,5.272,1.979,121.65,120.26,0.092,0.387,0.289,0.104,0.101,1
146.41,3.859,5.364,1.986,120.6,120.26,0.14,0.321,0.378,0.114,0.109,1
147.42,3.812,5.449,1.984,119.99,120.26,0.053,0.372,0.396,0.118,0.128,1
148.43,3.78,5.517,2.035,118.66,120.26,0.131,0.434,0.408,0.14,0.145,1
149.44,3.737,5.595,2.03,120.55,120.26,0.074,0.387,0.394,0.103,0.119,1
150.45,3.684,5.687,2.039,121.09,120.26,0.077,0.352,0.29,0.141,0.148,1
151.46,3.641,5.758,1.999,118.14,120.26,0.132,0.329,0.323,0.089,0.119,1
152.47,3.593,5.829,1.995,121.69,120.26,0.072,0.375,0.329,0.105,0.098,1
153.48,3.547,5.916,2.026,122.23,120.26,0.081,0.291,0.35,0.12,0.132,1
154.49,3.503,5.981,1.988,120.66,120.26,0.111,0.231,0.264,0.144,0.1,1
