Время,X,Y,Z,Курс,Целевой_курс,Расстояние,Мощность_0,Мощность_1,Мощность_2,Мощность_3,Номер_точки
57.48,4.786,-0.02,1.992,359.86,0.18,0.062,0.441,0.326,0.101,0.112,2
58.49,4.869,0.005,1.975,5.38,3.61,0.074,0.322,0.355,0.144,0.111,2
59.5,4.957,0.015,1.989,27.29,28.54,0.107,0.282,0.32,0.11,0.107,2
60.51,5.015,0.051,2.041,64.93,65.93,0.097,0.377,0.32,0.148,0.124,2
61.51,5.004,0.11,1.956,104.89,102.96,0.112,0.324,0.284,0.098,0.094,2
62.52,4.999,0.208,2.007,87.91,90.18,0.12,0.413,0.338,0.103,0.116,2
63.53,4.999,0.288,2.006,90.78,90.0,0.096,0.322,0.38,0.079,0.116,2
64.54,5.006,0.372,1.979,90.59,90.0,0.084,0.315,0.352,0.13,0.088,2
65.55,4.99,0.462,1.987,89.75,90.0,0.088,0.4,0.346,0.137,0.124,2
66.56,4.986,0.531,1.958,90.23,90.0,0.096,0.353,0.322,0.123,0.109,2
67.56,4.978,0.611,1.974,93.15,90.0,0.078,0.39,0.326,0.116,0.124,2
68.57,5.011,0.69,2.0,88.65,90.0,0.157,0.293,0.377,0.1,0.136,2
69.58,5.001,0.787,2.01,89.62,90.0,0.1,0.416,0.287,0.166,0.125,2
70.59,5.014,0.881,1.973,89.71,90.0,0.08,0.326,0.429,0.134,0.094,2
71.6,5.0,0.957,2.092,89.17,90.0,0.096,0.383,0.344,0.082,0.125,2
72.61,4.993,1.048,1.983,88.39,90.0,0.106,0.31,0.433,0.113,0.086,2
73.62,5.004,1.115,2.004,91.91,90.0,0.085,0.288,0.393,0.067,0.103,2
74.62,4.999,1.206,1.993,90.26,90.0,0.068,0.34,0.33,0.15,0.152,2
75.63,4.989,1.287,1.988,87.89,90.0,0.116,0.357,0.376,0.158,0.119,2
76.64,4.992,1.367,2.039,89.16,90.0,0.122,0.413,0.356,0.148,0.15,2
77.65,5.016,1.478,1.986,90.49,90.0,0.118,0.364,0.365,0.118,0.115,2
78.66,5.003,1.553,2.04,90.48,90.0,0.081,0.379,0.378,0.107,0.119,2
79.67,5.004,1.623,2.034,88.27,90.0,0.156,0.376,0.324,0.091,0.096,2
80.67,4.998,1.707,1.969,89.89,90.0,0.067,0.474,0.321,0.129,0.138,2
81.68,4.994,1.797,2.031,90.31,90.0,0.073,0.317,0.329,0.104,0.115,2
82.69,5.008,1.868,1.98,90.47,90.0,0.129,0.4,0.291,0.111,0.131,2
83.7,4.999,1.969,2.082,90.47,90.0,0.071,0.344,0.335,0.106,0.128,2
84.71,4.993,2.038,1.988,87.81,90.0,0.1,0.36,0.355,0.113,0.13,2
85.72,4.999,2.13,1.972,92.22,90.0,0.058,0.328,0.356,0.137,0.125,2
86.72,4.992,2.208,1.943,90.25,90.0,0.068,0.396,0.353,0.153,0.118,2
87.73,5.002,2.297,1.961,92.17,90.0,0.124,0.3,0.33,0.122,0.119,2
88.74,5.01,2.373,1.983,93.44,90.0,0.051,0.297,0.377,0.119,0.105,2
89.75,4.992,2.455,1.97,89.81,90.0,0.055,0.342,0.263,0.097,0.076,2
90.76,5.013,2.544,1.963,88.52,90.0,0.079,0.304,0.329,0.094,0.129,2
91.77,4.994,2.63,1.979,91.04,90.0,0.051,0.378,0.332,0.098,0.161,2
92.78,5.001,2.718,1.994,89.78,90.0,0.102,0.387,0.381,0.137,0.141,2
93.78,4.992,2.805,2.043,89.46,90.0,0.146,0.32,0.371,0.124,0.167,2
94.79,4.998,2.902,1.949,88.76,90.0,0.083,0.381,0.377,0.138,0.129,2
95.8,5.0,2.98,1.983,92.03,90.0,0.077,0.324,0.345,0.127,0.1,2
96.81,4.996,3.054,1.971,89.47,90.0,0.054,0.348,0.383,0.111,0.099,2
97.82,4.994,3.147,1.955,88.32,90.0,0.066,0.35,0.304,0.094,0.135,2
98.83,4.994,3.218,1.962,89.46,90.0,0.093,0.425,0.347,0.112,0.126,2
99.83,4.993,3.321,1.973,88.61,90.0,0.062,0.35,0.26,0.09,0.116,2
100.84,4.986,3.397,2.022,90.19,90.0,0.07,0.314,0.413,0.159,0.135,2
101.85,4.998,3.464,1.994,89.5,90.0,0.066,0.313,0.408,0.124,0.102,2
102.86,5.004,3.566,1.984,88.73,90.0,0.051,0.398,0.32,0.112,0.13,2
103.87,5.008,3.651,2.018,90.72,90.0,0.06,0.283,0.31,0.159,0.114,2
104.88,5.006,3.703,2.008,89.23,90.0,0.06,0.331,0.26,0.111,0.123,2
105.88,5.022,3.805,1.993,90.87,90.0,0.094,0.335,0.283,0.13,0.144,2
106.89,5.003,3.891,2.012,91.51,90.0,0.057,0.252,0.349,0.116,0.117,2
107.9,4.996,3.962,1.975,89.57,90.0,0.058,0.331,0.338,0.126,0.148,2
108.91,5.017,4.054,2.019,89.22,90.0,0.114,0.39,0.285,0.112,0.147,2
109.92,4.991,4.139,2.014,90.24,90.0,0.056,0.359,0.324,0.129,0.105,2
110.93,5.009,4.236,1.988,91.07,90.0,0.143,0.314,0.317,0.148,0.167,2
111.94,4.991,4.318,1.963,90.0,90.0,0.086,0.378,0.363,0.094,0.095,2
112.94,5.003,4.423,2.046,90.17,90.0,0.097,0.371,0.372,0.074,0.118,2
113.95,4.982,4.479,2.003,89.97,90.0,0.115,0.431,0.335,0.146,0.135,2
114.96,5.008,4.577,2.092,90.37,90.0,0.2,0.32,0.349,0.122,0.074,2
115.97,4.999,4.651,1.98,90.75,90.0,0.07,0.334,0.344,0.137,0.141,2
116.98,4.991,4.737,2.026,89.15,90.0,0.116,0.352,0.261,0.113,0.143,2
117.99,5.015,4.809,1.987,93.04,93.61,0.07,0.344,0.351,0.15,0.118,2
118.99,4.997,4.895,2.008,99.01,98.95,0.078,0.353,0.342,0.156,0.126,2
120.0,4.965,4.982,2.025,118.0,118.8,0.092,0.346,0.374,0.095,0.125,2
121.01,4.908,5.022,1.976,192.93,192.77,0.078,0.322,0.271,0.133,0.116,2
122.02,4.841,5.017,1.997,184.72,184.08,0.12,0.286,0.375,0.107,0.142,2
123.03,4.757,5.005,2.005,180.15,180.18,0.068,0.328,0.319,0.087,0.113,2
124.04,4.68,5.004,2.003,179.28,180.0,0.126,0.294,0.355,0.113,0.119,2
125.04,4.596,4.992,2.018,179.07,180.0,0.102,0.308,0.393,0.13,0.128,2
126.05,4.498,5.014,2.031,182.1,180.0,0.061,0.328,0.285,0.091,0.137,2
127.06,4.414,5.012,2.025,181.05,180.0,0.118,0.37,0.292,0.093,0.143,2
128.07,4.329,4.995,2.008,178.66,180.0,0.064,0.384,0.384,0.144,0.09,2
129.08,4.237,5.0,1.99,178.99,180.0,0.066,0.308,0.299,0.119,0.079,2
130.09,4.159,4.991,1.966,182.25,180.0,0.111,0.362,0.306,0.127,0.117,2
131.1,4.078,5.013,1.978,181.81,180.0,0.06,0.382,0.368,0.096,0.119,2
132.1,4.0,5.004,1.984,180.15,180.0,0.054,0.348,0.336,0.105,0.098,2
133.11,3.921,4.999,2.02,181.39,180.0,0.059,0.284,0.375,0.121,0.126,2
134.12,3.817,5.004,1.989,178.22,180.0,0.139,0.263,0.356,0.122,0.133,2
135.13,3.744,5.004,1.963,180.0,180.0,0.073,0.381,0.343,0.121,0.128,2
136.14,3.65,4.996,2.019,180.89,180.0,0.071,0.386,0.384,0.151,0.154,2
137.15,3.588,4.989,1.976,177.77,180.0,0.099,0.36,0.432,0.122,0.099,2
138.15,3.484,4.988,1.977,179.06,180.0,0.109,0.307,0.34,0.087,0.121,2
139.16,3.404,4.984,1.993,180.94,180.0,0.091,0.407,0.404,0.101,0.159,2
140.17,3.306,5.004,2.014,181.36,180.0,0.097,0.398,0.39,0.117,0.134,2
141.18,3.222,5.02,1.928,179.29,180.0,0.066,0.347,0.349,0.144,0.098,2
142.19,3.146,4.985,1.966,180.35,180.0,0.119,0.34,0.363,0.104,0.124,2
143.2,3.056,5.001,2.005,181.92,180.0,0.093,0.271,0.307,0.11,0.144,2
144.21,2.978,5.004,1.989,179.54,180.0,0.06,0.379,0.32,0.117,0.162,2
145.21,2.875,4.991,1.974,178.4,180.0,0.084,0.284,0.356,0.104,0.134,2
146.22,2.81,5.002,1.984,179.93,180.0,0.065,0.376,0.343,0.101,0.144,2
147.23,2.711,4.99,2.042,179.53,180.0,0.074,0.378,0.397,0.113,0.098,2
148.24,2.65,5.011,1.986,181.56,180.0,0.077,0.353,0.293,0.138,0.115,2
149.25,2.547,4.995,2.021,180.19,180.0,0.104,0.412,0.333,0.127,0.144,2
150.26,2.474,5.001,2.024,179.04,180.0,0.084,0.336,0.319,0.112,0.101,2
151.26,2.367,5.006,1.986,182.88,180.0,0.14,0.373,0.338,0.126,0.119,2
152.27,2.298,4.996,2.013,179.4,180.0,0.097,0.381,0.391,0.092,0.082,2
153.28,2.202,4.984,1.986,180.57,180.0,0.072,0.359,0.296,0.138,0.15,2
154.29,2.12,4.995,1.982,180.81,180.0,0.102,0.332,0.379,0.132,0.117,2
155.3,2.04,5.007,1.966,180.94,180.0,0.094,0.398,0.321,0.124,0.132,2
156.31,1.952,4.999,2.026,180.21,180.0,0.05,0.366,0.332,0.085,0.09,2
157.31,1.872,5.002,1.988,180.7,180.0,0.079,0.341,0.385,0.159,0.093,2
158.32,1.791,4.99,1.983,179.92,180.0,0.073,0.342,0.333,0.058,0.157,2
159.33,1.705,5.001,1.966,178.3,180.0,0.131,0.354,0.371,0.097,0.113,2
160.34,1.614,5.007,2.054,179.74,180.0,0.064,0.44,0.349,0.099,0.109,2
161.35,1.517,5.0,2.022,179.76,180.0,0.058,0.353,0.338,0.132,0.13,2
162.36,1.437,5.017,1.996,179.79,180.0,0.172,0.339,0.33,0.087,0.131,2
163.37,1.358,4.998,1.979,180.16,180.0,0.114,0.306,0.275,0.122,0.08,2
164.37,1.256,4.991,1.954,179.25,180.0,0.176,0.3,0.315,0.114,0.1,2
165.38,1.196,4.985,2.009,181.59,180.0,0.137,0.273,0.351,0.112,0.121,2
166.39,1.103,5.01,2.009,181.88,180.0,0.065,0.358,0.353,0.135,0.12,2
167.4,1.018,4.999,1.958,177.36,180.0,0.133,0.35,0.285,0.146,0.127,2
168.41,0.943,5.009,2.035,180.01,180.0,0.055,0.308,0.385,0.125,0.111,2
169.42,0.856,5.004,2.023,179.15,180.0,0.099,0.289,0.368,0.112,0.114,2
170.42,0.767,5.015,1.971,176.87,180.0,0.087,0.336,0.293,0.071,0.124,2
171.43,0.671,5.011,1.983,180.49,180.0,0.054,0.328,0.303,0.147,0.106,2
172.44,0.598,4.997,1.987,179.26,180.0,0.101,0.295,0.365,0.111,0.103,2
173.45,0.513,5.002,2.005,179.55,180.0,0.129,0.361,0.275,0.08,0.109,2
174.46,0.417,5.01,1.996,179.22,180.0,0.064,0.355,0.315,0.121,0.12,2
175.47,0.349,4.989,1.951,181.3,180.0,0.083,0.347,0.343,0.147,0.117,2
176.47,0.26,5.013,2.044,181.49,180.0,0.079,0.38,0.34,0.115,0.11,2
177.48,0.152,5.011,2.009,180.33,180.0,0.114,0.323,0.343,0.094,0.115,2
178.49,0.086,5.009,2.038,180.83,180.0,0.058,0.403,0.361,0.163,0.119,2
179.5,0.01,4.998,2.038,179.87,180.0,0.053,0.308,0.313,0.13,0.126,2
