Время,X,Y,Z,Курс,Целевой_курс,Расстояние,Мощность_0,Мощность_1,Мощность_2,Мощность_3,Номер_точки
30.27,2.68,-0.027,1.986,358.72,0.18,0.083,0.336,0.27,0.116,0.147,1
31.28,2.773,-0.024,1.974,0.81,0.26,0.062,0.337,0.329,0.101,0.124,1
32.29,2.876,-0.028,2.002,1.19,0.3,0.076,0.293,0.361,0.119,0.106,1
33.3,2.958,-0.027,2.013,2.92,0.37,0.1,0.291,0.327,0.107,0.115,1
34.31,3.048,-0.023,1.993,358.39,0.41,0.07,0.332,0.315,0.116,0.121,1
35.32,3.131,-0.023,1.974,359.83,0.48,0.178,0.328,0.258,0.118,0.111,1
36.32,3.214,-0.03,2.019,2.11,0.51,0.055,0.4,0.431,0.132,0.103,1
37.33,3.313,-0.018,1.947,358.95,0.58,0.1,0.365,0.306,0.107,0.104,1
38.34,3.403,-0.025,1.969,359.17,0.61,0.113,0.287,0.417,0.112,0.09,1
39.35,3.485,-0.027,2.001,1.26,0.64,0.057,0.316,0.412,0.14,0.122,1
40.36,3.577,-0.025,1.959,1.92,0.7,0.091,0.378,0.361,0.115,0.127,1
41.37,3.67,-0.021,2.001,359.92,0.72,0.109,0.426,0.327,0.114,0.135,1
42.38,3.755,-0.008,1.998,1.42,0.78,0.058,0.365,0.355,0.136,0.083,1
43.39,3.849,-0.023,2.027,0.94,0.8,0.106,0.362,0.304,0.124,0.136,1
44.4,3.94,-0.014,1.973,2.67,0.84,0.064,0.424,0.36,0.121,0.119,1
45.41,4.029,-0.026,1.981,0.86,0.86,0.059,0.349,0.35,0.123,0.091,1
46.41,4.115,-0.012,2.01,2.07,0.88,0.069,0.338,0.371,0.094,0.122,1
47.42,4.211,-0.006,1.926,359.83,0.92,0.078,0.293,0.388,0.128,0.136,1
48.43,4.302,-0.011,2.093,0.71,0.93,0.157,0.329,0.419,0.145,0.13,1
49.44,4.389,-0.011,1.979,0.84,0.96,0.062,0.437,0.334,0.131,0.134,1
50.45,4.472,-0.005,1.978,2.33,0.97,0.051,0.293,0.392,0.088,0.138,1
51.46,4.57,-0.001,2.026,1.68,0.98,0.119,0.35,0.318,0.125,0.137,1
52.47,4.653,0.0,1.999,0.09,0.99,0.159,0.294,0.314,0.101,0.119,1
53.48,4.75,0.009,1.947,1.81,0.99,0.119,0.355,0.325,0.115,0.078,1
54.49,4.828,0.001,2.019,1.92,1.0,0.104,0.386,0.311,0.122,0.104,1
55.5,4.929,-0.002,2.026,0.86,0.99,0.11,0.34,0.389,0.095,0.127,1
56.5,5.014,0.002,1.987,0.67,0.98,0.106,0.379,0.387,0.146,0.11,1
57.51,5.097,0.004,1.992,0.74,0.97,0.094,0.379,0.401,0.118,0.133,1
58.52,5.193,0.006,2.015,358.92,0.96,0.083,0.368,0.349,0.135,0.136,1
59.53,5.286,0.007,1.973,1.17,0.95,0.079,0.419,0.361,0.132,0.121,1
60.54,5.378,0.01,2.013,1.22,0.94,0.063,0.381,0.327,0.146,0.157,1
61.55,5.461,0.001,2.006,359.87,0.91,0.115,0.338,0.304,0.143,0.1,1
62.56,5.551,0.016,1.98,1.78,0.89,0.081,0.323,0.368,0.09,0.138,1
63.57,5.649,0.01,1.958,359.21,0.86,0.134,0.316,0.361,0.12,0.11,1
64.58,5.736,0.008,1.993,0.18,0.84,0.115,0.369,0.306,0.077,0.104,1
65.59,5.831,0.019,1.974,0.23,0.8,0.092,0.337,0.373,0.11,0.131,1
66.59,5.925,0.024,2.03,3.16,0.77,0.058,0.459,0.28,0.134,0.107,1
67.6,6.002,0.021,2.004,358.83,0.75,0.09,0.424,0.343,0.138,0.137,1
68.61,6.103,0.02,2.023,1.37,0.7,0.063,0.341,0.325,0.145,0.096,1
69.62,6.199,0.015,2.004,1.8,0.67,0.087,0.337,0.329,0.112,0.12,1
70.63,6.281,0.038,2.008,1.06,0.61,0.103,0.418,0.307,0.126,0.103,1
71.64,6.369,0.027,1.977,2.0,0.58,0.097,0.275,0.388,0.121,0.115,1
72.65,6.468,0.017,2.02,359.31,0.51,0.078,0.332,0.373,0.145,0.112,1
73.66,6.556,0.02,2.054,357.74,0.48,0.13,0.388,0.397,0.151,0.097,1
74.67,6.651,0.025,1.991,1.33,0.41,0.127,0.314,0.355,0.112,0.133,1
75.68,6.734,0.017,1.982,358.94,0.37,0.165,0.331,0.298,0.195,0.095,1
76.68,6.819,0.027,1.995,359.95,0.34,0.088,0.336,0.335,0.119,0.1,1
77.69,6.917,0.024,1.986,358.85,0.26,0.053,0.376,0.302,0.112,0.137,1
78.7,7.006,0.034,1.979,1.49,0.23,0.12,0.356,0.368,0.131,0.139,1
79.71,7.103,0.033,2.004,1.19,0.15,0.124,0.366,0.398,0.135,0.133,1
80.72,7.191,0.012,1.991,359.25,0.11,0.149,0.374,0.363,0.13,0.126,1
81.73,7.271,0.028,2.043,1.12,0.03,0.115,0.351,0.325,0.106,0.165,1
82.74,7.364,0.018,2.0,0.14,359.99,0.078,0.394,0.335,0.149,0.095,1
83.75,7.466,0.034,2.01,359.79,359.96,0.079,0.321,0.358,0.121,0.105,1
84.76,7.556,0.028,2.029,359.95,359.88,0.08,0.293,0.292,0.15,0.1,1
85.77,7.639,0.03,1.991,359.6,359.84,0.063,0.279,0.355,0.147,0.138,1
86.77,7.733,0.021,2.043,0.5,359.76,0.112,0.285,0.357,0.094,0.125,1
87.78,7.827,0.037,1.981,0.1,359.73,0.078,0.328,0.328,0.1,0.142,1
88.79,7.917,0.037,1.976,359.23,359.65,0.144,0.391,0.333,0.1,0.139,1
89.8,8.01,0.019,1.989,0.82,359.62,0.11,0.357,0.356,0.125,0.115,1
90.81,8.098,0.027,1.997,358.85,359.58,0.1,0.326,0.316,0.121,0.103,1
91.82,8.186,0.02,1.958,359.86,359.51,0.051,0.307,0.316,0.125,0.1,1
92.83,8.276,0.023,1.999,359.99,359.48,0.099,0.329,0.38,0.103,0.164,1
93.84,8.374,0.015,1.95,1.19,359.41,0.098,0.334,0.358,0.128,0.139,1
94.85,8.446,0.032,2.042,358.78,359.38,0.088,0.327,0.416,0.148,0.132,1
95.86,8.549,0.015,1.998,1.42,359.33,0.054,0.293,0.31,0.093,0.113,1
96.86,8.64,0.018,1.981,359.51,359.3,0.107,0.331,0.278,0.116,0.116,1
97.87,8.723,0.021,1.973,359.04,359.27,0.073,0.391,0.387,0.125,0.113,1
98.88,8.823,0.013,1.988,358.41,359.22,0.104,0.263,0.387,0.117,0.113,1
99.89,8.908,0.014,1.993,359.9,359.2,0.056,0.34,0.32,0.116,0.072,1
100.9,9.008,0.011,1.969,359.21,359.16,0.111,0.265,0.29,0.155,0.118,1
101.91,9.093,0.012,1.972,357.81,359.14,0.106,0.357,0.347,0.145,0.112,1
102.92,9.188,0.005,1.994,357.75,359.1,0.078,0.32,0.279,0.137,0.125,1
103.93,9.282,0.008,1.984,358.42,359.09,0.088,0.267,0.335,0.104,0.124,1
104.94,9.368,0.008,2.028,358.26,359.07,0.125,0.354,0.262,0.165,0.137,1
105.95,9.451,0.005,2.034,0.36,359.05,0.098,0.423,0.339,0.127,0.119,1
106.95,9.538,0.006,2.0,0.69,359.04,0.116,0.354,0.264,0.108,0.136,1
107.96,9.647,0.003,2.014,0.07,359.03,0.09,0.396,0.339,0.113,0.068,1
108.97,9.727,0.007,1.96,359.45,359.02,0.062,0.347,0.409,0.11,0.098,1
109.98,9.815,-0.001,2.019,358.5,359.02,0.053,0.264,0.338,0.162,0.154,1
110.99,9.91,-0.001,1.999,359.08,359.02,0.062,0.37,0.379,0.124,0.095,1
112.0,9.978,-0.005,2.015,0.08,359.02,0.087,0.333,0.323,0.121,0.114,1
